movieId,Genre,rating
1,Adventure,3.92
2,Adventure,3.43
3,Comedy,3.26
4,Comedy,2.36
5,Comedy,3.07
6,Action,3.95
7,Comedy,3.19
8,Adventure,2.88
9,Action,3.12
10,Action,3.5
11,Comedy,3.67
12,Comedy,2.42
13,Adventure,3.12
14,Drama,3.83
15,Action,3.0
16,Crime,3.93
17,Drama,3.78
18,Comedy,3.7
19,Comedy,2.73
20,Action,2.5
21,Comedy,3.49
22,Crime,3.22
23,Action,3.12
24,Drama,3.12
25,Drama,3.62
26,Drama,3.5
27,Children,3.33
28,Drama,4.23
29,Adventure,4.01
30,Crime,3.0
31,Drama,3.18
32,Mystery,3.98
34,Children,3.65
36,Crime,3.84
38,Children,2.12
39,Comedy,3.29
40,Drama,4.25
41,Drama,3.7
42,Action,3.0
43,Drama,3.19
44,Action,2.54
45,Comedy,3.31
46,Drama,3.07
47,Mystery,3.98
48,Animation,3.15
49,Drama,3.0
50,Crime,4.24
52,Comedy,3.46
53,Adventure,5.0
54,Children,2.33
55,Drama,4.0
57,Drama,3.06
58,Comedy,4.03
60,Adventure,3.24
61,Drama,3.75
62,Drama,3.71
63,Comedy,2.71
64,Comedy,2.2
65,Comedy,2.53
66,Action,2.5
68,Comedy,3.4
69,Comedy,3.78
70,Action,3.51
71,Action,1.7
72,Comedy,3.21
73,Drama,3.46
74,Drama,4.0
75,Comedy,2.2
76,Action,3.4
77,Documentary,4.0
78,Action,3.33
79,Drama,2.76
80,Children,4.0
81,Crime,3.11
82,Comedy,3.88
83,Drama,3.0
85,Drama,3.86
86,Action,3.97
87,Children,2.5
88,Comedy,3.16
89,Action,3.25
92,Drama,2.62
93,Comedy,2.83
94,Comedy,3.95
95,Action,3.02
96,Comedy,3.5
97,Crime,3.9
99,Documentary,5.0
100,Drama,2.79
101,Adventure,3.78
102,Comedy,2.4
103,Mystery,3.0
104,Comedy,3.44
105,Drama,3.28
106,Comedy,4.0
107,Adventure,3.33
108,Documentary,4.0
110,Action,4.03
111,Crime,4.11
112,Action,3.54
113,Drama,3.33
116,Documentary,3.9
117,Crime,3.0
118,Comedy,2.5
119,Comedy,3.0
121,Drama,4.0
122,Comedy,2.66
123,Drama,4.38
125,Comedy,3.58
126,Adventure,2.0
128,Documentary,3.0
129,Comedy,2.0
132,Thriller,2.83
135,Comedy,2.95
137,Documentary,3.0
140,Drama,3.5
141,Comedy,3.49
144,Comedy,3.33
145,Action,3.25
146,Adventure,3.33
147,Drama,3.47
148,Drama,5.0
149,Crime,2.0
150,Adventure,3.85
151,Action,3.55
152,Drama,1.5
153,Action,2.92
154,Drama,3.88
155,Adventure,2.42
156,Comedy,3.33
157,Comedy,2.86
158,Adventure,2.81
159,Crime,2.89
160,Action,2.88
161,Drama,3.64
162,Documentary,4.21
163,Action,3.56
164,Crime,3.32
165,Action,3.56
166,Comedy,2.83
168,Action,3.08
169,Adventure,2.4
170,Action,3.23
171,Comedy,3.83
172,Action,2.68
173,Action,2.67
174,Comedy,2.7
175,Drama,3.98
176,Comedy,4.31
177,Horror,2.75
178,Comedy,1.0
179,Drama,1.5
180,Comedy,3.4
181,Action,2.26
183,Comedy,3.5
184,Drama,3.5
185,Action,3.04
186,Comedy,2.82
187,Comedy,4.12
188,Fantasy,3.46
189,Comedy,3.0
190,Thriller,2.8
191,Drama,2.42
193,Drama,2.47
194,Comedy,3.67
195,Comedy,3.1
196,Horror,2.67
198,Action,3.25
199,Drama,4.12
201,Drama,3.0
202,Drama,3.0
203,Comedy,3.43
204,Action,2.72
205,Comedy,3.17
206,Documentary,3.0
207,Drama,3.43
208,Action,2.91
209,Drama,3.17
210,Western,3.0
211,Drama,3.5
212,Adventure,3.0
213,Drama,3.83
214,Drama,4.0
215,Drama,4.04
216,Comedy,3.33
217,Drama,2.33
218,Comedy,3.43
219,Drama,3.0
220,Horror,3.0
222,Drama,3.75
223,Comedy,3.86
224,Comedy,3.61
225,Drama,3.54
227,Action,2.86
228,Comedy,2.33
229,Drama,3.43
230,Drama,3.4
231,Adventure,3.06
232,Comedy,3.89
233,Drama,3.5
234,Comedy,2.59
235,Comedy,3.68
236,Action,3.48
237,Comedy,3.34
238,Adventure,4.0
239,Animation,3.0
240,Thriller,2.38
241,Children,4.0
242,Drama,3.6
243,Children,3.0
246,Documentary,4.29
247,Crime,3.93
248,Comedy,3.18
249,Drama,3.72
250,Children,2.5
251,Action,3.0
252,Comedy,3.45
253,Drama,3.46
254,Drama,3.0
255,Comedy,2.07
256,Comedy,2.83
257,Mystery,3.5
258,Adventure,2.6
259,Crime,3.2
260,Action,4.23
261,Drama,3.88
262,Children,3.9
263,Drama,4.0
265,Drama,3.94
266,Drama,3.4
267,Comedy,2.94
269,Drama,3.0
270,Drama,3.4
271,Drama,3.5
272,Comedy,3.76
273,Drama,2.95
274,Comedy,2.93
275,Comedy,2.0
276,Comedy,3.25
277,Drama,3.22
278,Comedy,1.5
279,Drama,3.0
280,Drama,4.08
281,Comedy,3.79
282,Drama,3.34
283,Crime,3.67
284,Action,4.5
285,Drama,4.0
287,Comedy,3.0
288,Action,3.23
289,Comedy,3.56
290,Crime,4.04
291,Drama,2.33
292,Action,3.43
293,Action,4.02
294,Comedy,3.0
295,Comedy,3.0
296,Comedy,4.2
298,Drama,2.0
299,Drama,4.0
300,Drama,3.52
301,Drama,4.0
302,Drama,3.2
303,Action,2.95
304,Comedy,3.67
305,Comedy,2.83
306,Drama,4.22
307,Drama,3.9
308,Comedy,4.03
310,Comedy,3.0
311,Horror,3.0
312,Comedy,1.44
313,Animation,3.33
314,Children,3.75
315,Action,3.08
316,Action,3.38
317,Comedy,3.2
318,Crime,4.43
319,Comedy,3.6
320,Film-Noir,3.0
321,Drama,4.0
